checkpoint,checkpoint_step,mean_gt_iou,precision@0.5,recall@0.5,f1@0.5
checkpoint-271,271,0.6631507554879555,0.7967479674796748,0.7538461538461538,0.7747035573122529
checkpoint-542,542,0.6569615892492808,0.7804878048780488,0.7384615384615385,0.758893280632411
checkpoint-813,813,0.719312211813835,0.8617886178861789,0.8153846153846154,0.8379446640316206
checkpoint-1084,1084,0.7308134346770553,0.8699186991869918,0.823076923076923,0.8458498023715415
checkpoint-1355,1355,0.7449566182608788,0.8943089430894309,0.8461538461538461,0.8695652173913043
checkpoint-1626,1626,0.6966239152046351,0.8429752066115702,0.7846153846153846,0.8127490039840638
checkpoint-1897,1897,0.7310628972374476,0.8852459016393442,0.8307692307692308,0.8571428571428572
