checkpoint,checkpoint_step,mean_gt_iou,precision@0.5,recall@0.5,f1@0.5
checkpoint-271,271,0.6839842563996521,0.8292682926829268,0.7846153846153846,0.8063241106719368
checkpoint-542,542,0.6778137408196926,0.8048780487804879,0.7615384615384615,0.782608695652174
checkpoint-813,813,0.7280440737994818,0.8536585365853658,0.8076923076923077,0.8300395256916996
checkpoint-1084,1084,0.7469730329055052,0.8861788617886179,0.8384615384615385,0.8616600790513834
checkpoint-1355,1355,0.7633842704387811,0.9105691056910569,0.8615384615384616,0.8853754940711462
checkpoint-1626,1626,0.7711211094489464,0.9186991869918699,0.8692307692307693,0.8932806324110673
checkpoint-1897,1897,0.7642181510535571,0.9186991869918699,0.8692307692307693,0.8932806324110673
