checkpoint,checkpoint_step,mean_gt_iou,precision@0.5,recall@0.5,f1@0.5
checkpoint-271,271,0.6784674972224121,0.8373983739837398,0.7923076923076923,0.8142292490118577
checkpoint-542,542,0.6887744914453763,0.8373983739837398,0.7923076923076923,0.8142292490118577
checkpoint-813,813,0.7159323509782552,0.860655737704918,0.8076923076923077,0.8333333333333334
checkpoint-1084,1084,0.7153543157359729,0.8629032258064516,0.823076923076923,0.84251968503937
checkpoint-1355,1355,0.7393222846037063,0.8503937007874016,0.8307692307692308,0.8404669260700389
checkpoint-1626,1626,0.7475508040533616,0.88,0.8461538461538461,0.8627450980392156
checkpoint-1897,1897,0.7369486533678495,0.872,0.8384615384615385,0.8549019607843137
